x,y,g
0,32,173
1,32,220
2,32,222
3,32,206
4,32,167
5,32,192
6,32,248
7,32,250
8,32,248
9,32,249
10,32,245
11,32,221
12,32,169
13,32,112
14,32,112
15,32,108
16,32,71
17,32,128
18,32,102
19,32,126
20,32,185
21,32,155
22,32,150
23,32,139
24,32,91
25,32,76
26,32,109
27,32,149
28,32,143
29,32,194
30,32,167
31,32,120
0,31,156
1,31,224
2,31,214
3,31,173
4,31,191
5,31,248
6,31,249
7,31,248
8,31,250
9,31,250
10,31,242
11,31,208
12,31,110
13,31,112
14,31,104
15,31,69
16,31,61
17,31,159
18,31,206
19,31,155
20,31,154
21,31,130
22,31,66
23,31,38
24,31,42
25,31,33
26,31,71
27,31,121
28,31,145
29,31,154
30,31,159
31,31,123
0,30,164
1,30,221
2,30,176
3,30,208
4,30,238
5,30,244
6,30,249
7,30,250
8,30,252
9,30,251
10,30,236
11,30,219
12,30,188
13,30,132
14,30,63
15,30,85
16,30,110
17,30,130
18,30,163
19,30,170
20,30,115
21,30,74
22,30,180
23,30,116
24,30,20
25,30,47
26,30,63
27,30,133
28,30,141
29,30,73
30,30,64
31,30,93
0,29,215
1,29,158
2,29,190
3,29,230
4,29,237
5,29,243
6,29,246
7,29,228
8,29,240
9,29,234
10,29,230
11,29,206
12,29,220
13,29,185
14,29,147
15,29,156
16,29,187
17,29,192
18,29,194
19,29,197
20,29,190
21,29,146
22,29,211
23,29,151
24,29,36
25,29,71
26,29,107
27,29,131
28,29,115
29,29,77
30,29,41
31,29,50
0,28,180
1,28,168
2,28,246
3,28,215
4,28,238
5,28,226
6,28,201
7,28,152
8,28,143
9,28,193
10,28,147
11,28,149
12,28,176
13,28,201
14,28,214
15,28,217
16,28,215
17,28,214
18,28,213
19,28,213
20,28,221
21,28,152
22,28,111
23,28,161
24,28,123
25,28,109
26,28,48
27,28,27
28,28,50
29,28,58
30,28,45
31,28,65
0,27,174
1,27,237
2,27,239
3,27,196
4,27,233
5,27,177
6,27,132
7,27,87
8,27,109
9,27,172
10,27,95
11,27,149
12,27,210
13,27,210
14,27,208
15,27,207
16,27,208
17,27,208
18,27,208
19,27,208
20,27,207
21,27,201
22,27,211
23,27,213
24,27,212
25,27,208
26,27,131
27,27,30
28,27,27
29,27,29
30,27,69
31,27,120
0,26,224
1,26,234
2,26,172
3,26,144
4,26,132
5,26,120
6,26,106
7,26,99
8,26,105
9,26,123
10,26,177
11,26,208
12,26,206
13,26,205
14,26,204
15,26,193
16,26,205
17,26,205
18,26,205
19,26,199
20,26,198
21,26,203
22,26,211
23,26,249
24,26,208
25,26,200
26,26,212
27,26,157
28,26,59
29,26,50
30,26,59
31,26,74
0,25,182
1,25,148
2,25,117
3,25,98
4,25,71
5,25,61
6,25,48
7,25,81
8,25,112
9,25,110
10,25,203
11,25,205
12,25,189
13,25,193
14,25,203
15,25,189
16,25,201
17,25,202
18,25,202
19,25,196
20,25,193
21,25,191
22,25,93
23,25,216
24,25,110
25,25,190
26,25,202
27,25,205
28,25,181
29,25,81
30,25,31
31,25,45
0,24,166
1,24,76
2,24,100
3,24,112
4,24,142
5,24,129
6,24,99
7,24,106
8,24,133
9,24,180
10,24,210
11,24,194
12,24,206
13,24,199
14,24,199
15,24,185
16,24,199
17,24,200
18,24,199
19,24,196
20,24,187
21,24,186
22,24,154
23,24,202
24,24,104
