年份,月份,地域,感染率,平均气温(℃),平均露点温度(℃),平均风速(mi/h),最低气温极值(℃),最高气温极值(℃),降水天数,降水量(mm),AQI,社会事件
2004,6,北京市,0.0135,,,,,,,,,
2004,6,河北省,0.0838,,,,,,,,,
2004,6,山西省,0.0121,,,,,,,,,
2004,6,黑龙江,0.0053,,,,,,,,,
2004,6,江苏省,0.0238,,,,,,,,,
2004,6,浙江省,0.6809,,,,,,,,,
2004,6,安徽省,0.0372,,,,,,,,,
2004,6,福建省,0.0362,,,,,,,,,
2004,6,江西省,0.3198,,,,,,,,,
2004,6,山东省,0.0033,,,,,,,,,
2004,6,河南省,0.0186,,,,,,,,,
2004,6,湖北省,0.0166,,,,,,,,,
2004,6,湖南省,0.1347,,,,,,,,,
2004,6,广东省,0.3772,,,,,,,,,
2004,6,广西,1.3139,,,,,,,,,
2004,6,海南省,0.6878,,,,,,,,,
2004,6,重庆市,0.1470,,,,,,,,,
2004,6,四川省,0.3902,,,,,,,,,
2004,6,贵州省,0.3139,,,,,,,,,
2004,6,云南省,0.0023,,,,,,,,,
2004,6,西藏,0.1149,,,,,,,,,
2004,6,陕西省,0.0328,,,,,,,,,
2004,6,甘肃省,0.1339,,,,,,,,,
2004,6,青海省,0.0556,,,,,,,,,
2004,6,宁夏,0.2911,,,,,,,,,
2004,6,新疆,0.0376,,,,,,,,,
2004,6,河北省,0.0868,,,,,,,,,
2004,6,山西省,0.0121,,,,,,,,,
2004,6,黑龙江,0.0080,,,,,,,,,
2004,6,上海市,0.0149,,,,,,,,,
2004,6,江苏省,0.0106,,,,,,,,,
2004,6,浙江省,0.3617,,,,,,,,,
2004,6,安徽省,0.0310,,,,,,,,,
2004,6,福建省,0.0807,,,,,,,,,
2004,6,江西省,0.3152,,,,,,,,,
2004,6,山东省,0.0065,,,,,,,,,
2004,6,河南省,0.0134,,,,,,,,,
2004,6,湖北省,0.0150,,,,,,,,,
2004,6,湖南省,0.0509,,,,,,,,,
2004,6,广东省,0.2037,,,,,,,,,
2004,6,广西,1.0956,,,,,,,,,
2004,6,海南省,0.0614,,,,,,,,,
2004,6,重庆市,0.1150,,,,,,,,,
2004,6,四川省,0.2949,,,,,,,,,
2004,6,贵州省,0.2720,,,,,,,,,
2004,6,西藏,0.0766,,,,,,,,,
2004,6,陕西省,0.0301,,,,,,,,,
2004,6,甘肃省,0.0268,,,,,,,,,
2004,6,青海省,0.2039,,,,,,,,,
2004,6,宁夏,0.4795,,,,,,,,,
